extension,mime_type
wmlc,application/vnd.wap.wmlc
wmlsc,application/vnd.wap.wmlscriptc
wtb,application/vnd.webturbo
nbp,application/vnd.wolfram.player
wpd,application/vnd.wordperfect
wqd,application/vnd.wqd
stf,application/vnd.wt.stf
xar,application/vnd.xara
web,application/vnd.xara
xfdl,application/vnd.xfdl
hvd,application/vnd.yamaha.hv-dic
hvs,application/vnd.yamaha.hv-script
hvp,application/vnd.yamaha.hv-voice
osf,application/vnd.yamaha.openscoreformat
osfpvg,application/vnd.yamaha.openscoreformat.osfpvg+xml
saf,application/vnd.yamaha.smaf-audio
spf,application/vnd.yamaha.smaf-phrase
cmp,application/vnd.yellowriver-custom-menu
zir,application/vnd.zul
zirz,application/vnd.zul
zaz,application/vnd.zzazz.deck+xml
vmd,application/vocaltec-media-desc
vmf,application/vocaltec-media-file
vxml,application/voicexml+xml
wgt,application/widget
hlp,application/winhlp
wp,application/wordperfect
wp5,application/wordperfect
wp6,application/wordperfect
wpd,application/wordperfect
wp5,application/wordperfect5.1
w60,application/wordperfect6.0
wp5,application/wordperfect6.0
w61,application/wordperfect6.1
wsdl,application/wsdl+xml
wspolicy,application/wspolicy+xml
wk1,application/x-123
wk,application/x-123
7z,application/x-7z-compressed
abw,application/x-abiword
ace,application/x-ace-compressed
aim,application/x-aim
dmg,application/x-apple-diskimage
aab,application/x-authorware-bin
x32,application/x-authorware-bin
u32,application/x-authorware-bin
vox,application/x-authorware-bin
aam,application/x-authorware-map
aas,application/x-authorware-seg
bcpio,application/x-bcpio
bin,application/x-binary
hqx,application/x-binhex40
torrent,application/x-bittorrent
blb,application/x-blorb
blorb,application/x-blorb
bsh,application/x-bsh
sh,application/x-bsh
shar,application/x-bsh
elc,application/x-bytecode.elisp
elc,application/x-bytecode.elisp(compiledelisp)
bz,application/x-bzip
bz2,application/x-bzip2
boz,application/x-bzip2
cbr,application/x-cbr
cba,application/x-cbr
cbt,application/x-cbr
cbz,application/x-cbr
cb7,application/x-cbr
cdf,application/x-cdf
vcd,application/x-cdlink
cfs,application/x-cfs-compressed
chat,application/x-chat
cha,application/x-chat
pgn,application/x-chess-pgn
chm,application/x-chm
crx,application/x-chrome-extension
ras,application/x-cmu-raster
cco,application/x-cocoa
cpt,application/x-compactpro
z,application/x-compress
gz,application/x-compressed
tgz,application/x-compressed
z,application/x-compressed
zip,application/x-compressed
nsc,application/x-conference
cpio,application/x-cpio
cpt,application/x-cpt
csh,application/x-csh
deb,application/x-debian-package
udeb,application/x-debian-package
deepv,application/x-deepv
dgc,application/x-dgc-compressed
dir,application/x-director
dcr,application/x-director
dxr,application/x-director
cst,application/x-director
cct,application/x-director
cxt,application/x-director
w3d,application/x-director
fgd,application/x-director
swa,application/x-director
dms,application/x-dms
wad,application/x-doom
ncx,application/x-dtbncx+xml
dtb,application/x-dtbook+xml
res,application/x-dtbresource+xml
dvi,application/x-dvi
elc,application/x-elc
env,application/x-envoy
evy,application/x-envoy
es,application/x-esrehber
eva,application/x-eva
xla,application/x-excel
xlb,application/x-excel
xlc,application/x-excel
xld,application/x-excel
xlk,application/x-excel
xll,application/x-excel
xlm,application/x-excel
xls,application/x-excel
xlt,application/x-excel
xlv,application/x-excel
xlw,application/x-excel
flac,application/x-flac
pfa,application/x-font
pfb,application/x-font
gsf,application/x-font
pcf,application/x-font
pcf.Z,application/x-font
bdf,application/x-font-bdf
gsf,application/x-font-ghostscript
psf,application/x-font-linux-psf
otf,application/x-font-otf
pcf,application/x-font-pcf
snf,application/x-font-snf
ttf,application/x-font-ttf
ttc,application/x-font-ttf
pfa,application/x-font-type1
pfb,application/x-font-type1
pfm,application/x-font-type1
afm,application/x-font-type1
woff,application/x-font-woff
mif,application/x-frame
arc,application/x-freearc
pre,application/x-freelance
spl,application/x-futuresplash
gca,application/x-gca-compressed
ulx,application/x-glulx
gnumeric,application/x-gnumeric
sgf,application/x-go-sgf
gramps,application/x-gramps-xml
gcf,application/x-graphing-calculator
gsp,application/x-gsp
gss,application/x-gss
gtar,application/x-gtar
tgz,application/x-gtar
taz,application/x-gtar
gz,application/x-gzip
gzip,application/x-gzip
tgz,application/x-gzip
hdf,application/x-hdf
help,application/x-helpfile
hlp,application/x-helpfile
imap,application/x-httpd-imap
phtml,application/x-httpd-php
pht,application/x-httpd-php
php,application/x-httpd-php
phps,application/x-httpd-php-source
php3,application/x-httpd-php3
php3p,application/x-httpd-php3-preprocessed
php4,application/x-httpd-php4
ica,application/x-ica
ima,application/x-ima
install,application/x-install-instructions
ins,application/x-internet-signup
isp,application/x-internet-signup
ins,application/x-internett-signup
iv,application/x-inventor
ip,application/x-ip2
iii,application/x-iphone
iso,application/x-iso9660-image
jar,application/x-java-archive
class,application/x-java-class
jcm,application/x-java-commerce
jnlp,application/x-java-jnlp-file
ser,application/x-java-serialized-object
class,application/x-java-vm
js,application/x-javascript
chrt,application/x-kchart
kil,application/x-killustrator
skd,application/x-koan
skm,application/x-koan
skp,application/x-koan
skt,application/x-koan
kpr,application/x-kpresenter
kpt,application/x-kpresenter
ksh,application/x-ksh
ksp,application/x-kspread
kwd,application/x-kword
kwt,application/x-kword
latex,application/x-latex
ltx,application/x-latex
lha,application/x-lha
lsp,application/x-lisp
ivy,application/x-livescreen
wq1,application/x-lotus
scm,application/x-lotusscreencam
luac,application/x-lua-bytecode
lzh,application/x-lzh
lzh,application/x-lzh-compressed
lha,application/x-lzh-compressed
lzx,application/x-lzx
hqx,application/x-mac-binhex40
bin,application/x-macbinary
mc$,application/x-magic-cap-package-1.0
frm,application/x-maker
maker,application/x-maker
frame,application/x-maker
fm,application/x-maker
fb,application/x-maker
book,application/x-maker
fbdoc,application/x-maker
mcd,application/x-mathcad
mm,application/x-meme
mid,application/x-midi
midi,application/x-midi
mie,application/x-mie
mif,application/x-mif
nix,application/x-mix-transfer
